"reforma_politica" "cidade" "satisfacao_gov" "gov.ant"
0 2 84 69
0 2 83 54
1 1 59 52
1 2 54 54
0 2 108 40
1 1 122 47
0 2 28 29
1 2 21 57
1 1 35 49
1 1 53 54
1 2 25 35
1 2 47 42
1 1 32 47
1 1 88 44
1 1 84 43
1 2 88 44
1 1 112 44
0 2 13 45
1 1 11 65
0 2 61 53
1 1 70 61
1 2 46 74
0 1 112 61
1 1 107 72
1 2 97 48
0 2 48 45
1 2 13 43
0 2 91 68
1 2 76 48
0 2 23 43
1 1 2 45
0 1 59 62
0 2 76 57
1 2 60 41
1 1 58 32
1 2 74 58
1 2 114 63
1 2 53 55
1 1 111 72
1 2 2 44
1 2 74 34
1 2 45 56
1 1 85 48
1 2 83 57
1 2 73 71
0 2 68 51
1 2 42 52
1 2 59 52
1 2 -8 50
1 1 95 62
1 2 86 62
1 2 127 34
1 2 58 57
1 1 111 49
1 2 67 45
1 1 95 46
0 2 77 37
1 1 90 52
1 1 53 36
1 1 50 33
1 1 51 68
1 1 132 55
1 2 79 32
1 1 42 51
1 1 69 63
1 2 52 51
1 1 86 43
1 2 68 57
1 2 60 62
1 2 68 52
1 2 109 42
1 2 120 47
0 2 71 53
1 1 74 34
1 1 134 48
1 1 82 53
0 2 62 44
1 2 114 56
0 1 32 48
1 1 69 45
0 1 17 75
0 2 131 39
1 1 66 55
1 2 91 62
0 2 68 49
1 1 141 54
1 1 116 48
1 2 102 56
1 1 70 31
1 2 71 50
0 2 76 49
1 2 114 48
0 2 80 58
1 1 90 39
1 2 114 41
0 2 96 54
1 1 51 59
1 2 72 43
0 2 56 47
1 1 41 46
1 2 114 55
1 1 123 38
1 1 78 51
1 2 22 36
0 2 67 41
1 1 53 64
1 1 55 51
0 1 92 45
1 1 69 46
1 1 6 43
1 2 118 53
1 2 88 38
1 1 104 52
1 1 60 36
1 2 78 46
1 1 107 53
1 1 72 43
0 2 117 46
0 2 27 49
1 2 73 54
0 2 60 40
1 2 31 51
1 2 22 46
1 2 67 64
1 2 114 49
1 1 46 35
1 2 75 51
1 1 69 59
0 2 100 46
0 1 73 61
1 1 56 52
1 2 59 23
1 2 92 32
0 1 117 46
1 2 21 41
1 1 120 46
0 1 44 50
1 1 77 63
0 1 50 52
1 2 97 50
1 1 56 52
1 2 87 42
1 2 76 58
0 2 44 47
1 1 100 46
1 1 74 49
1 2 96 58
0 1 91 43
0 1 17 55
1 1 87 43
1 1 73 53
1 1 57 47
1 1 55 59
1 1 51 46
0 1 47 40
1 2 86 42
1 1 78 28
0 2 55 44
0 1 60 35
0 1 82 47
1 2 75 33
1 1 75 54
1 2 78 54
0 1 18 49
1 1 66 46
0 1 117 38
1 1 41 46
1 1 62 42
1 2 96 56
1 2 102 36
1 1 113 27
1 1 135 65
1 2 56 50
1 2 32 60
1 1 92 52
1 2 70 49
0 1 43 68
1 1 65 56
1 1 107 48
0 1 100 59
1 1 66 54
1 2 121 73
0 1 59 48
0 1 61 51
1 2 100 37
1 1 66 59
0 2 52 56
1 2 43 56
1 2 163 43
1 2 131 49
0 2 64 50
1 1 37 45
0 2 56 53
1 2 80 72
0 1 72 41
1 1 79 64
1 2 90 46
0 1 97 30
1 2 111 43
1 2 63 44
1 2 93 65
0 1 104 48
1 2 100 46
1 1 34 50
1 2 105 67
1 1 95 57
1 2 15 48
1 1 105 49
1 2 70 40
0 1 62 60
1 1 92 46
0 1 89 25
1 2 82 53
1 1 107 58
1 1 70 28
1 1 113 42
1 2 123 37
0 2 79 49
1 2 99 41
1 1 66 63
1 2 67 63
0 2 108 70
1 2 153 52
0 1 71 48
1 2 129 48
1 1 92 45
0 2 50 50
0 1 42 31
0 2 79 41
0 2 97 53
1 1 98 30
1 1 85 37
1 1 131 49
0 2 35 56
1 1 102 51
0 2 59 45
1 2 54 57
1 2 77 48
1 2 77 51
1 2 79 63
1 2 45 30
1 2 119 39
0 2 79 58
1 1 81 40
1 2 37 51
1 1 41 64
1 2 50 48
1 1 11 45
1 2 26 62
1 1 96 46
1 1 87 45
0 2 17 50
0 1 2 45
0 2 34 62
1 1 88 55
1 2 46 47
1 2 68 30
1 1 43 51
1 1 101 39
0 2 63 31
1 1 68 56
0 2 61 69
1 2 72 38
0 1 27 46
1 2 69 37
0 1 80 44
1 2 107 41
0 2 117 44
1 1 60 60
0 2 139 41
1 1 81 54
1 2 118 45
0 2 59 41
1 2 87 44
1 2 77 50
1 1 92 63
1 2 111 68
1 2 66 42
1 1 103 45
1 1 50 51
1 1 55 48
1 2 50 74
1 2 35 65
1 1 67 30
0 1 79 55
1 1 82 44
1 1 134 72
0 1 59 47
0 2 63 55
1 2 56 66
0 1 118 46
1 1 51 35
0 2 58 55
1 1 63 67
1 2 123 64
1 1 122 69
1 2 44 60
1 2 80 57
0 2 72 51
1 1 80 45
